,user_name,date,text,hashtags,Date,Time
0,Anj Honne,2022-10-15 18:02:58+00:00,This is playing in my mind rent free. Love ya @marinaxsummers . #TeamMarinaSummers https://t.co/NgAsGcuGPR,['TeamMarinaSummers'],2022-10-15,18:02:58
1,DaDykewingDuck,2022-10-15 03:15:44+00:00,I'm still #TeamMarinaSummers #TeamMarina,"['TeamMarinaSummers', 'TeamMarina']",2022-10-15,03:15:44
2,2x5,2022-10-14 13:41:36+00:00,"@marinaxsummers You slaaaaayed all season and you served the kids for daaaaaaays in the finale. Sis, u r truly ICONIC #teammarinasummers",['teammarinasummers'],2022-10-14,13:41:36
3,Wax Gibb,2022-10-14 12:33:01+00:00,"Yep, that’s our Queen! @marinaxsummers 💛☀️
#DragRacePH #TeamMarina #TeamMarinaSummers https://t.co/4fxgE0I1b4","['DragRacePH', 'TeamMarina', 'TeamMarinaSummers']",2022-10-14,12:33:01
4,—,2022-10-14 08:33:06+00:00,marina summers supremacy✨ #NewProfilePic #TeamMarinaSummers https://t.co/50NL2Uyr6a,"['NewProfilePic', 'TeamMarinaSummers']",2022-10-14,08:33:06
5,🔥Targaryen-Ish🔥,2022-10-14 00:08:20+00:00,"Loving these frames of @marinaxsummers by Ivan Sheen Dela Cruz.
#TeamMarinaSummers

Alam mo yan, Marina!

Frames: https://t.co/ZumMztOSd8 https://t.co/tvgRtfJha8",['TeamMarinaSummers'],2022-10-14,00:08:20
6,R🪩🪩,2022-10-13 19:12:38+00:00,About to watch the #DragRacePhilippines final #teamMarinaSummers,"['DragRacePhilippines', 'teamMarinaSummers']",2022-10-13,19:12:38
7,art of azit,2022-10-13 18:10:58+00:00,"13

""Fine, fresh, feminine, style to eleven."" 
@marinaxsummers

#DragRacePH #DragRacePhilippines #DragRace #TeamMarina #TeamMarinaSummers https://t.co/11EMo4tkDJ","['DragRacePH', 'DragRacePhilippines', 'DragRace']",2022-10-13,18:10:58
8,.•♫•♬• 𝘔𝘰𝘤𝘩𝘢 𝘓𝘶𝘹𝘪𝘰𝘶𝘴 •♬•♫•.,2022-10-13 16:37:46+00:00,"@marinaxsummers you’re still my winner🥺🥺🥺🥰🥰🥰🫶🫶🫶

#NewProfilePic
#TeamMarinaSummers 
#santamarina https://t.co/1MXc8d2qHy","['NewProfilePic', 'TeamMarinaSummers', 'santamarina']",2022-10-13,16:37:46
9,juan 🎀 Midnights by Taylor Swift,2022-10-13 16:25:34+00:00,my 2 favorites in 1 frame 🌸#TeamMintySummers #TeamMintyFresh #TeamMarinaSummers https://t.co/Ue70gvAD9X,"['TeamMintySummers', 'TeamMintyFresh', 'TeamMarinaSummers']",2022-10-13,16:25:34
10,reyn,2022-10-13 14:34:50+00:00,@marinaxsummers MY WINNER 4EVER  &lt;33 #TEAMPRECIOUS #TEAMMARINASUMMERS,"['TEAMPRECIOUS', 'TEAMMARINASUMMERS']",2022-10-13,14:34:50
11,Dexter Gumangan,2022-10-13 13:40:08+00:00,"Still shocked with the result of drag race Philippines watching it wholly. Marina Summers has it all to be THE QUEEN! Nonetheless, a warm congratulations to Precious Paula Nicole. 👑 #DragRacePHfinale #MarinaSummers #PreciousPaulaNicole #TeamMarinaSummers",,2022-10-13,13:40:08
12,Lord Loki ϟ † ▽♈,2022-10-13 11:40:01+00:00,Forever #TeamMarinaSummers ❤️ https://t.co/7USr5W00kH,['TeamMarinaSummers'],2022-10-13,11:40:01
13,MIMA MONG BUSOWG,2022-10-13 11:05:22+00:00,"everytime i'll listen to ""call me mother"" i will always remember how marina summers slayed that lip sync and ended up not winning the competition. 🥲 #DragRacePH #TeamMarinaSummers https://t.co/PSb5soGfKm",,2022-10-13,11:05:22
14,junie,2022-10-13 10:38:11+00:00,You’re still my winaaaaaher baby! #TeamMarinaSummers https://t.co/q7K4M6NgGY,['TeamMarinaSummers'],2022-10-13,10:38:11
15,Lieu Czar Bequin,2022-10-13 09:40:55+00:00,"You are still my Filipina Winner @marinaxsummers ... You raised the colors of the Philippine flag 🇵🇭💪 
Shine bright ☀️✨

#TeamMarinaSummers #DragRacePHfinale #DragRacePhilippines #DragRacePh https://t.co/N5cR96laz5",,2022-10-13,09:40:55
16,Romeo Guillermo Magaway III,2022-10-13 07:25:39+00:00,"“Bigyan ng Rubadge yan!” 🇵🇭

Still on #DragRacePH mania.
Congratulations &amp; Dalaygon to the queens of @dragraceph for a spectacular run. These RuBadges came in the mail just in time for yesterday’s finale.

Forever #TeamMarinaSummers but @PreciousPaulaN ATE!✨ https://t.co/MCf63qLMvU",['DragRacePH'],2022-10-13,07:25:39
17,Tony Coronel,2022-10-13 05:18:59+00:00,@marinaxsummers will always be a mf winner !! She slayed the entire competition and devoured those lipsyncs 😭 !!! Love you #TeamMarinaSummers,,2022-10-13,05:18:59
18,The Orquídea Blue 💕🥰🤡👺💁🏻‍♂️👑,2022-10-13 05:18:56+00:00,@MxSilverWare I was #TeamMarinaSummers since episode one 😭😭😭😭😭 like I’m happy for PPN but my bias was and is MS. VDL did amazing too 😭😭 but I loved this season because it gave us a breath of fresh air as in it was a great show,['TeamMarinaSummers'],2022-10-13,05:18:56
19,Boo 🐾,2022-10-13 04:57:14+00:00,"#TeamMarinaSummers 

Didn't check my soc med para di maspoil and currently catching up 😵",['TeamMarinaSummers'],2022-10-13,04:57:14
20,_aiyenvv 🪩 | Midnights october 21st 🕛,2022-10-13 03:46:43+00:00,"NAIIYAK PARIN AKO 😭😭😭 #TeamMarinaSummers for lifeeee 🥹🫶

You won my heart this season 💖💖
This is your season @marinaxsummers https://t.co/BUDTuqBzwX",['TeamMarinaSummers'],2022-10-13,03:46:43
21,gj°,2022-10-13 03:35:50+00:00,"THE WINNAH IN MAH HEART 💛☀️

#TeamMarina #TeamMarinaSummers https://t.co/FxlBTghUMv","['TeamMarina', 'TeamMarinaSummers']",2022-10-13,03:35:50
22,ariana stan,2022-10-13 03:32:12+00:00,YES MY FILIPINA WINNAH!!!! @marinaxsummers  @dragraceph #TeamMarinaSummers https://t.co/Ia0r06WDfW,['TeamMarinaSummers'],2022-10-13,03:32:12
23,Ram,2022-10-13 03:29:04+00:00,"No doubt, Precious Paula won that lipsync fair and square. But my heart still goes to Marina Summers! Winner pa din! 👑
#TeamMarinaSummers 
@marinaxsummers 

CTTO nitong pics. https://t.co/X7T9VuCc0u",,2022-10-13,03:29:04
24,𝕯𝖔𝖒𝖎𝖓𝖎𝖈👑,2022-10-13 03:27:16+00:00,"YASSS MY TWO QUEENS 🫶🏽👑
@marinaxsummers  @eva_lequeen

#TeamMarinaSummers 
#TeamEvaLeQueen 
#DragRacePh 
#DragRacePhilippines https://t.co/RmzJTZkafp","['TeamMarinaSummers', 'TeamEvaLeQueen', 'DragRacePh']",2022-10-13,03:27:16
25,Zia Ullah,2022-10-13 03:16:00+00:00,"Teamwork and Intelligence are the parts of success.
#SuccesQuotes #quote #MondayMotivation #TeamPreciousPaulaNicole #TeamMarinaSummers #TeamStacks #TeamPrecious #teamwork #LifeLessons #InspirationAhead #InspireExcellenceThroughSoccer https://t.co/g3FxuvX8SU","['SuccesQuotes', 'quote', 'MondayMotivation', 'TeamPreciousPaulaNicole']",2022-10-13,03:16:00
26,Mark Adrian,2022-10-13 02:56:13+00:00,Mama @RuPaul cast our @marinaxsummers the soonest! 🔥 #TeamMarinaSummers #DragRacePH,"['TeamMarinaSummers', 'DragRacePH']",2022-10-13,02:56:13
27,MJ | KWON SONE,2022-10-13 02:23:59+00:00,@marinaxsummers WE LOVE YOU OUR FILIPINA WINNAAAAAAAHHHH 🥺🤟🤙😭 #TeamMarinaSummers 4 lyf,['TeamMarinaSummers'],2022-10-13,02:23:59
28,✩,2022-10-13 01:52:43+00:00,@marinaxsummers I LOVE YOU 😭😭😭😭 #TeamMarina #TeamMarinaSummers,"['TeamMarina', 'TeamMarinaSummers']",2022-10-13,01:52:43
29,Ayra,2022-10-13 01:34:00+00:00,#TeamMarinaSummers all the way pero dasurv talaga ni Precious 👏🏻👏🏻👏🏻  ALL QUEENS IN THEIR OWN RIGHT 👑 https://t.co/gQMEvuJXyc,['TeamMarinaSummers'],2022-10-13,01:34:00
30,issa,2022-10-13 01:03:30+00:00,Filipina winnah with my love neck scarf 😜 #TeamMarina #TeamMarinaSummers https://t.co/nJKqcpOO3Z,"['TeamMarina', 'TeamMarinaSummers']",2022-10-13,01:03:30
31,R,2022-10-13 00:22:50+00:00,THIS IS THE FIRST TIME SHE LIP SYNCED AND SHE FUCKING ATE THIS #DragRacePH #DragRacePhilippines #TeamMarinaSummers MARINA FOR ALL STAR https://t.co/qe89QDKiAn,"['DragRacePH', 'DragRacePhilippines', 'TeamMarinaSummers']",2022-10-13,00:22:50
32,JOHN PAUL,2022-10-12 23:34:49+00:00,"I was rooting the entire time for @marinaxsummers She’s truly the Superstar of this season. But that last lip sync though 🥺 @PreciousPaulaN killed it (actually the Finale EP) daming pasavogue ni ate.  The universe has spoken, Congrats PPN! 👑❤️  #DragRacePH #TeamMarinaSummers",,2022-10-12,23:34:49
33,Denver Ernest Santos,2022-10-12 22:44:02+00:00,Became a fan of Marina Summers because of the Pop Off Ate episode. So sad she didn’t win the show but she did win so many hearts. Congrats pa rin. #TeamMarinaSummers #TeamMarina,,2022-10-12,22:44:02
35,KarlowRuwa,2022-10-12 21:29:28+00:00,Still #TeamMarinaSummers!! 💕,['TeamMarinaSummers'],2022-10-12,21:29:28
36,TREV,2022-10-12 21:02:22+00:00,#DragRacePHfinale girl you had one job 😒 #TeamMarinaSummers 4ever,"['DragRacePHfinale', 'TeamMarinaSummers']",2022-10-12,21:02:22
37,I A N 🙈,2022-10-12 18:21:20+00:00,i am #TeamMarinaSummers but i have to say that PPN nailed that lipsync. congrats gurls #DragRacePH,"['TeamMarinaSummers', 'DragRacePH']",2022-10-12,18:21:20
38,lu,2022-10-12 17:55:17+00:00,finally watching #DragRacePH !!!! i know what happens but I’m always forever going to be #TeamMarinaSummers @marinaxsummers LUV U SO MUCH BESH,"['DragRacePH', 'TeamMarinaSummers']",2022-10-12,17:55:17
39,Miss Ramonne,2022-10-12 17:48:24+00:00,"No matter what, @marinaxsummers is my Filipina winna!! 😭 @dragraceph #DragRacePH #TeamMarinaSummers","['DragRacePH', 'TeamMarinaSummers']",2022-10-12,17:48:24
40,cagney | נועה ✧.* #stillteamsminty,2022-10-12 17:38:15+00:00,"YES MY QUEEN I KNEW IT 
#TeamMarinaSummers 💋💋 https://t.co/pADKupSyJJ",['TeamMarinaSummers'],2022-10-12,17:38:15
41,Forda Fries #TeamMarina #TeamEva,2022-10-12 17:10:08+00:00,"#TeamMarinaSummers all the way pero PPN stood out on that final lipsync for me, mas ramdam ko emotion from her. Deserve naman. Pero in my heart @marinaxsummers is still my Filipina winnah. Mabuhay ang Filipino Drag 🇵🇭
#DragRacePHfinale",['TeamMarinaSummers'],2022-10-12,17:10:08
42,Eyy Mendez,2022-10-12 17:01:20+00:00,They both deserve the crown huhu #TeamMarinaSummers and #TeamPrecious 👏🏼👏🏼👏🏼,"['TeamMarinaSummers', 'TeamPrecious']",2022-10-12,17:01:20
43,Meg 🌸,2022-10-12 15:54:25+00:00,"That final lipsync is giving Yvie Oddly and Brooke Lynn Hytes vibes where dasurv na dasurv both!!! 

But #TeamMarinaSummers forevarrr!!! Mabuhay ang mga petite!!! 😂♥️",,2022-10-12,15:54:25
44,Autumn,2022-10-12 15:53:27+00:00,PPN did a better run but Marina Summers did EXELLENT.  #TeamMarinaSummers,['TeamMarinaSummers'],2022-10-12,15:53:27
45,ᴄᴀʀʟ,2022-10-12 15:52:43+00:00,"I'm happy with the result regardless of who won, I am #TeamMarinaSummers but PPN deserves it and we should not discredit or attack her just because our bet didn't win. Condragulations PPN, you deserve all the love ❤️",['TeamMarinaSummers'],2022-10-12,15:52:43
46,keralia / juan - Marina Summers stan,2022-10-12 15:42:23+00:00,@marinaxsummers you will always be our queen bitch I love u so much #TeamMarinaSummers https://t.co/VpkFgT87BG,['TeamMarinaSummers'],2022-10-12,15:42:23
47,C R I S,2022-10-12 15:40:03+00:00,"Loving my wallpaper, for me kaw ang winner. #TeamMarinaSummers https://t.co/9Pt15vuYSQ",['TeamMarinaSummers'],2022-10-12,15:40:03
48,kee 🌸,2022-10-12 15:39:33+00:00,#TeamMarinaSummers SLAAAAAAAAYYYYYYYYYY,['TeamMarinaSummers'],2022-10-12,15:39:33
49,🌷Alam mo yan Marina🌷,2022-10-12 15:36:51+00:00,I am #TeamMarinaSummers but so happy for #TeamPrecious 💖 Ganun dapat wag toxic! #DragRacePH #DragRacePHfinale,"['TeamMarinaSummers', 'TeamPrecious', 'DragRacePH', 'DragRacePHfinale']",2022-10-12,15:36:51
50,em,2022-10-12 15:36:21+00:00,i love you!! you did great !! #TeamMarinaSummers forever. CONGRATS LOVE! 🫶🫶 https://t.co/bGexjjzn6K,['TeamMarinaSummers'],2022-10-12,15:36:21
51,ERRS,2022-10-12 15:30:00+00:00,"I am #TeamMarinaSummers through and through but holy moly!! Can't be mad with the result. PPN ate those lipsync battles up!! 

#DragRacePhilippines 
#DragRacePH https://t.co/aY4dc8kvSO",['TeamMarinaSummers'],2022-10-12,15:30:00
52,♛,2022-10-12 15:27:48+00:00,FOREVER #TeamMarinaSummers !!!! 😭😭😭 MY WINNER @marinaxsummers,['TeamMarinaSummers'],2022-10-12,15:27:48
53,bp,2022-10-12 15:21:34+00:00,#TeamMarinaSummers all the way!!! But PPN ate ittttt,['TeamMarinaSummers'],2022-10-12,15:21:34
54,Emmanuel Roxas,2022-10-12 15:12:55+00:00,My Winnah! 🥹 #TeamMarinaSummers https://t.co/NlHnfYWSDX,['TeamMarinaSummers'],2022-10-12,15:12:55
55,joferlyn ✨,2022-10-12 15:08:48+00:00,"As much as I was and #TeamMarinaSummers, @PreciousPaulaN 's final lipsync was enigmatic 

Idek what yall saw but i was hooked!",['TeamMarinaSummers'],2022-10-12,15:08:48
56,cj,2022-10-12 15:08:11+00:00,"These two incredible queens really slayed the lipsync performance. But the finale part is my fave, made a part of my heart cry. Mahal ko kayo @PreciousPaulaN @marinaxsummers!

#DragRacePhilippines #DragRacePH 
#TeamPreciousPaulaNicole #TeamMarinaSummers https://t.co/P71HFdhak8",,2022-10-12,15:08:11
57,luna,2022-10-12 15:07:44+00:00,@bubblyintr0vert @marinaxsummers she came to winn talaga 😩 so excited to see more from her!! #TeamMarinaSummers thru &amp; thru ✨,['TeamMarinaSummers'],2022-10-12,15:07:44
58,Melat,2022-10-12 15:07:20+00:00,Literally all of us. #dragraceph #dragracephilippines #teammarinasummers https://t.co/zM7rYKg0fI,"['dragraceph', 'dragracephilippines', 'teammarinasummers']",2022-10-12,15:07:20
