user_name,date,text,hashtags
Jec Torres,2022-10-16 15:22:53+00:00,If you just believe in your wildest dreams they would come true 🎶 @PreciousPaulaN 💕 #Baksilog #DragRacePh #TeamPrecious #TeamPreciousPaulaNicole #DivineDivas https://t.co/apjkefmjdn,"['Baksilog', 'DragRacePh']"
Abby | Precious Canada ❤️,2022-10-16 08:33:26+00:00,@AllisonMarman @PreciousPaulaN #TeamPreciousPaulaNicole yes excellent drag taste indeed! ♥️,['TeamPreciousPaulaNicole']
Jec Torres,2022-10-16 07:59:32+00:00,"Sissy that Walk, Queen @PreciousPaulaN! 👑❤️ #Baksilog #DragRacePh #TeamPrecious #TeamPreciousPaulaNicole #DivineDivas https://t.co/ti6DyTrWTa","['Baksilog', 'DragRacePh', 'TeamPrecious', 'TeamPreciousPaulaNicole']"
Telly 🐼,2022-10-16 06:36:06+00:00,"sharing the same vibe means you’re in the best squad 💖 Thank you babies sa support nyo kay @PreciousPaulaN and sa Divine Sisters nyaaa 🥹 LABYU KAYO!

#teampreciouspaulanicole 
#TeamPrecious https://t.co/Wo23dsiNdy",
Telly 🐼,2022-10-16 01:45:31+00:00,"No wonder why you are crowned as DRPH Superstar, queen @PreciousPaulaN 💕 How you touch everyone’s heart each time you perform is extraordinary! Loveyou, P! 🥺💖

#teampreciouspaulanicole 
#TeamPrecious https://t.co/nyVXMqV7ro",
Precious Comforter Nicole,2022-10-14 13:35:41+00:00,"Yes, she's Precious Paula Nicole. 
Our Precious Queen with a Precious Heart. 
#TeamPrecious #TeamPreciousPaulaNicole https://t.co/lAHDkmAxPi","['TeamPrecious', 'TeamPreciousPaulaNicole']"
👑 SON 👑,2022-10-13 23:39:18+00:00,"I woke up yesterday afternoon at 6:30 pm then took a bath. At 8:00 pm, I started to watch #DragRacePH on HBO. I watched from episode 6 to 10 including the untucked episodes. I’d say it’s worth the puyat. Time check: 7:38 am. Good night! #TeamPreciousPaulaNicole",['DragRacePH']
Sammeh,2022-10-13 15:24:58+00:00,WAAH I'VE ALWAYS BEEN A PRECIOUS PAULA NICOLE GIRL!! nanalo ung pambato koo 😭❤️ #TeamPreciousPaulaNicole,['TeamPreciousPaulaNicole']
Gerry Robinson,2022-10-13 09:42:58+00:00,"I love you both! @PreciousPaulaN @marinaxsummers  ❤️

ConDRAGulations!!! 

#DragRacePH #TeamMarina #TeamPreciousPaulaNicole  #SavvyStudiosPH https://t.co/Rrq9M9gRmP","['DragRacePH', 'TeamMarina']"
BubblyBella,2022-10-13 07:25:41+00:00,@PreciousPaulaN You nailed it! #TeamPreciousPaulaNicole  all the way! Ewew!,['TeamPreciousPaulaNicole']
rodelishere🌈,2022-10-13 07:05:15+00:00,I’ve been #TeamPreciousPaulaNicole through and through but @marinaxsummers ate the whole effing season. Now I’m not so sure anymore. Anyway can we just get a new set of hosts sa next season?,['TeamPreciousPaulaNicole']
mica,2022-10-13 05:02:47+00:00,AND THE CROWD GOES WILD! GRABE THIS MOMENT TALAGA #TeamPreciousPaulaNicole https://t.co/LnGGjGiCxX,['TeamPreciousPaulaNicole']
🌸 Paula San 008,2022-10-13 04:51:49+00:00,"Hello world! As I am a Johanna Paula, i officially add Nicole as my third name starting today 🤣

#TeamPreciousPaulaNicole",['TeamPreciousPaulaNicole']
